PROFILE_ID,PROFILE_NAME,DATA_TYPE,USER_DESCRIPTION,SELECT_VALUE
2,SEGMENT_NAME,string,"A string field from the CRM system identifying the subscriber's assigned 'Segment Name' for classification. | The 'Segment Name' (a string) is used in campaign management to target offers to specific groups like 'High ARPU' or 'Youth'. | This string 'Segment Name' is used for analyzing churn risk and usage behavior across different customer cohorts in our analytics platform. | Customer group, subscriber classification, marketing segment name, or the customer's assigned persona string from the billing system. | Show me the 'Segment Name' string for subscribers who are part of the 'Gold' tier in our loyalty system.",
9,AUDIENCE_SEGMENT_NAME,string,"Audience segment name is a string datatype field storing the textual segment label assigned to a subscriber record within CRM or campaign management telecom systems. | Audience segment name string datatype helps telecom marketing teams identify subscriber groups for targeted offers, bundle eligibility checks, and campaign execution across BSS platforms. | Audience segment name string datatype is used to segment subscribers, analyze behavior clusters, and evaluate campaign performance trends across prepaid and postpaid telecom network customer bases. | Audience segment name segment label, subscriber segment text, campaign audience name field, CRM segment identifier string used across telecom targeting and segmentation queries. | What is the Audience segment name string datatype assigned to this subscriber in the telecom campaign system or customer segmentation database?",
24,RECHARGE_Cust_Sub_Id,string,"A unique string identifier (Sub Id) for a customer who performed a recharge, as recorded in the billing system. | Used to track a specific prepaid customer's recharge history by their unique string ID for targeted campaign management. | This string Sub Id helps in customer segmentation by linking recharge events to a specific MSISDN for behavioral analysis. | Show me the string Cust Id for a subscriber's recharge, customer identifier for top-up, or the subscriber's recharge ID. | What is the string Sub Id for the prepaid customer who made the last recharge?",
25,RECHARGE_Denomination,numeric,"A numeric value from the billing system representing the monetary value of a subscriber's top-up, known as the Recharge Amount. | This numeric Recharge Amount helps segment prepaid subscribers by spending habits to drive targeted offers and maximize top-up revenue. | Analyzes the numeric Recharge Amount for customer segmentation, calculating ARPU, and predicting future top-up behavior for prepaid users. | Synonyms for this numeric KPI include top-up value, voucher denomination, or the specific Recharge Amount from a subscriber's transaction log. | What was the last numeric Recharge Amount made by the subscriber through the top-up platform?",
29,RECHARGE_Event_Date,date,"This Date field from the billing system captures the specific calendar date a subscriber completed a recharge or top-up transaction. | Use the last Recharge Date to trigger timely reminder campaigns for prepaid subscribers, encouraging them to top-up before their balance expires. | Analyze the frequency of Recharge Date entries for customer segmentation, identifying high-value users and predicting potential churn based on inactivity. | Synonyms for this Date field include 'last top-up date' or 'account recharge date,' used to query the CRM for recent transactions. | When was the subscriber's last Recharge Date for their current plan? This is a Date value.",
30,RECHARGE_Event_Hour,string,"This string data field from the billing system captures the specific hour (0-23) of a subscriber's recharge event. | Identifies peak recharge hours for prepaid subscribers, enabling targeted campaign promotions during specific times. This is a string data type. | Used for time-based segmentation of subscribers by their recharge event hour, revealing patterns for churn analysis. This is a string data type. | Alternate queries include 'subscriber top-up hour', 'time of day for recharge', or 'recharge event time'. This is a string data type. | At what hour do customers typically recharge their account? This is a string data type from the CRM.",
31,RECHARGE_Frequency,string,"A string value from the billing system indicating how often a prepaid subscriber recharges, such as 'High', 'Medium', or 'Low' Recharge Frequency. | Identifies the Recharge pattern for the prepaid segment, helping marketing teams design loyalty campaigns. This is a string data type. | Used in a churn model to segment subscribers based on their top-up Frequency, which is a string value like 'Frequent' or 'Infrequent'. | Show me the subscriber's top-up pattern, Recharge regularity, or reload cadence. This is a string value from the CRM system. | What is the subscriber's Recharge Frequency category? This is a string value like 'Weekly' or 'Monthly' from the customer profile.",
32,RECHARGE_Id_Bnss_Unit,numeric,"A numeric field from the billing system representing the bonus unit amount credited to a subscriber for a specific recharge transaction. | This numeric value helps marketing teams track the performance of a bonus offer tied to a specific recharge campaign for prepaid subscribers. | A numeric metric for segmenting subscribers by bonus unit received, analyzing the impact of recharge offers on customer loyalty and ARPU. | Show me the numeric bonus amount from the last recharge promotion; top-up bonus units; recharge bonus value from the CRM. | What was the numeric bonus unit for the subscriber's last recharge offer?",
33,RECHARGE_Id_Sbsc,numeric,"A unique numeric identifier (Recharge Id) assigned by the billing system to each top-up transaction made by a subscriber. | Used by customer care to track a specific subscriber's recharge transaction using its unique numeric Recharge Id for query resolution. | This numeric Recharge Id serves as a primary key in the data warehouse to join subscriber transactional data for detailed analysis. | Subscriber's numeric recharge transaction ID, top-up reference number, Sbsc Recharge Id, or unique payment identifier for a recharge. | What is the numeric Recharge Id for this subscriber's last top-up in the CRM system?",
34,RECHARGE_Line_Type,string,"A string field from the billing system that identifies the subscriber's connection category, such as the Recharge Line Type (e.g., 'Prepaid'). | Used to target specific campaigns based on the Recharge Line Type, like offering a new data pack exclusively to prepaid subscribers (a string value). | Enables customer segmentation by Line Type (a string) to analyze spending patterns and calculate ARPU for different subscriber groups in our CRM. | Subscriber connection category, account Line Type, prepaid or postpaid status, customer billing type (string) from the CRM. | What is the subscriber's Line Type? Is this a prepaid or postpaid account (string value)?",
35,RECHARGE_Msisdn_Index,string,"A unique string identifier from the billing system representing the subscriber's Msisdn, used to track a specific Recharge event. | This string value identifies the prepaid subscriber's Msisdn for targeted Recharge campaigns and offer management within the CRM. | Used as a string key in our analytics platform to join Recharge data, enabling segmentation based on subscriber Msisdn Index. | Subscriber Msisdn for a Recharge; customer mobile number string; unique ID for a top-up transaction from the network. | Which subscriber Msisdn made this specific Recharge? Show me the string identifier for this top-up.",
36,RECHARGE_Topup_Type_Desc,string,"A string data field from the charging system providing the description of the recharge top-up type, such as 'Online' or 'Voucher'. | This string value helps campaign management understand popular recharge top-up types to create targeted offers promoting specific channels like the mobile app. | Used in the analytics platform to segment subscribers by their preferred top-up type description (a string), analyzing channel adoption and customer behavior. | Alternate queries for this string data include: 'recharge method description', 'top-up channel type', or 'description for the last top-up from the billing record'. | What was the customer's last recharge top-up type (string)? Was it via the app or a physical voucher noted in the CRM?",
